ID,Title,Year,POSTER_URL,Genres,SearchTitle
3107,Backdraft,1991,https://image.tmdb.org/t/p/w500/bymJtYNIdiAiBR1LRetaJXbfryc.jpg,"['Action', 'Drama']",backdraft
2114,"Outsiders, The",1983,https://image.tmdb.org/t/p/w500/pl8Tf36TAOb2i561yPbQ9xl4P4D.jpg,['Drama'],outsiders the
256,Junior,1994,https://image.tmdb.org/t/p/w500/4tRF43CbEYHmV8VywkbikQwATB8.jpg,"['Comedy', 'Sci-Fi']",junior
1389,Jaws 3-D,1983,https://image.tmdb.org/t/p/w500/kqDXj53F9paqVGJLGfHtz7giJ3s.jpg,"['Action', 'Horror']",jaws 3d
3635,"Spy Who Loved Me, The",1977,https://image.tmdb.org/t/p/w500/3ZxHKFxMYvAko680DsRgAZKWcLi.jpg,['Action'],spy who loved me the
2042,D2: The Mighty Ducks,1994,https://image.tmdb.org/t/p/w500/veGW1N6QUglP4osDdOUI6CZCcBI.jpg,"[""Children's"", 'Comedy']",d2 the mighty ducks
2289,"Player, The",1992,https://image.tmdb.org/t/p/w500/uuxhFccZJvmQy5UDzoP3Wzjn7LU.jpg,"['Comedy', 'Drama']",player the
3334,Key Largo,1948,https://image.tmdb.org/t/p/w500/rySfmQQZhS7RswOiJcJrww6FcHy.jpg,"['Crime', 'Drama', 'Film-Noir', 'Thriller']",key largo
2901,Phantasm,1979,https://image.tmdb.org/t/p/w500/eR0uJ0Wje1lYJ4aHEpkcjgIM8d7.jpg,"['Horror', 'Sci-Fi']",phantasm
1206,"Clockwork Orange, A",1971,https://image.tmdb.org/t/p/w500/4sHeTAp65WrSSuc05nRBKddhBxO.jpg,['Sci-Fi'],clockwork orange a
3163,Topsy-Turvy,1999,https://image.tmdb.org/t/p/w500/oUYC9Qx4YFOxWWeigvh2xj4ZiBS.jpg,['Drama'],topsyturvy
2348,Sid and Nancy,1986,https://image.tmdb.org/t/p/w500/wHzCbMCfipDJ38GW5IyBTWDflMz.jpg,['Drama'],sid and nancy
112,Rumble in the Bronx,1995,https://image.tmdb.org/t/p/w500/1nAfchiXHQB3iyhK8fCJJEnNs5A.jpg,"['Action', 'Adventure', 'Crime']",rumble in the bronx
2369,Desperately Seeking Susan,1985,https://image.tmdb.org/t/p/w500/5vLHhO05KEBYVrCmp1bvI06r32t.jpg,"['Comedy', 'Romance']",desperately seeking susan
1409,Michael,1996,https://image.tmdb.org/t/p/w500/oprNZ2BvJG9ZV2g3JYeWQgsOZHe.jpg,"['Comedy', 'Romance']",michael
288,Natural Born Killers,1994,https://image.tmdb.org/t/p/w500/fEKZwT91gxvkAoyPgpNXo8W5fu0.jpg,"['Action', 'Thriller']",natural born killers
586,Home Alone,1990,https://image.tmdb.org/t/p/w500/qRktvMOO2QaCL7gvNyvZDoxPOZj.jpg,"[""Children's"", 'Comedy']",home alone
1197,"Princess Bride, The",1987,https://image.tmdb.org/t/p/w500/kTXxdNv44najTayFcrT487xWuDv.jpg,"['Action', 'Adventure', 'Comedy', 'Romance']",princess bride the
2502,Office Space,1999,https://image.tmdb.org/t/p/w500/v7fBXxHZ5WQn2PGgpXhTqHgtcJk.jpg,"['Comedy', 'Romance']",office space
